,precision_positive,recall_positive,f_measure_positive,precision_negative,recall_negative,f_measure_negative,precision_neutral,recall_neutral,f_measure_neutral,accuracy
SGDClassifier,77.94%,62.40%,69.31%,83.23%,78.47%,80.78%,63.61%,76.63%,69.51%,74.84%
LinearSVC,71.86%,64.03%,67.72%,81.54%,78.09%,79.78%,63.04%,71.14%,66.85%,73.20%
ComplementNB,62.55%,67.87%,65.10%,71.34%,87.02%,78.40%,69.26%,42.56%,52.72%,69.12%
RandomForestClassifier,70.76%,59.53%,64.66%,75.69%,80.02%,77.80%,64.10%,64.50%,64.30%,71.16%
LogisticRegression,76.49%,63.37%,69.31%,82.81%,79.57%,81.16%,64.51%,74.87%,69.30%,75.00%
MLPClassifier,63.71%,67.25%,65.43%,79.13%,76.21%,77.64%,62.29%,63.77%,63.02%,70.52%
