,precision_positive,recall_positive,f_measure_positive,precision_negative,recall_negative,f_measure_negative,precision_neutral,recall_neutral,f_measure_neutral,accuracy
SGDClassifier,79.19%,63.88%,70.71%,84.75%,80.42%,82.53%,65.75%,78.43%,71.53%,76.66%
LinearSVC,72.62%,65.82%,69.05%,83.53%,80.08%,81.77%,65.16%,72.90%,68.81%,75.10%
ComplementNB,62.34%,70.48%,66.16%,73.52%,86.78%,79.60%,70.06%,42.23%,54.97%,70.42%
RandomForestClassifier,71.62%,60.71%,65.72%,76.12%,81.97%,78.93%,65.73%,63.88%,64.79%,72.17%
LogisticRegression,77.28%,66.73%,71.62%,84.73%,80.82%,82.73%,66.49%,76.56%,71.17%,76.80%
MLPClassifier,69.74%,68.03%,68.88%,81.34%,80.12%,80.73%,66.07%,68.54%,67.28%,74.14%
